user,degree_cent,strength,betweenness,pagerank_l1,pagerank_l2,community,macro_community,role
rick-github,0.3983353151010701,389,0.8061616940519278,0.09388905907786373,0.0,0,ollama,Bridge
pdevine,0.084423305588585,86,0.0854315626699037,0.014865946048792674,0.01393128805323728,2,ollama,Bridge
ccurme,0.03923900118906064,41,0.14655988713360896,0.014695363228203494,0.0841343256481201,1,langchain,Bridge
keenborder786,0.024970273483947678,22,0.041121586169148634,0.009823190550273588,0.0,1,langchain,Bridge
efriis,0.026159334126040427,30,0.041586924107732536,0.009617226987408736,0.1639025692381582,1,langchain,Bridge
jmorganca,0.04399524375743163,47,0.07299533420067685,0.007681993824103486,0.0490303586773612,6,ollama,Bridge
mxyng,0.027348394768133173,36,0.00739126769892375,0.007177261917286731,0.03579740919372739,0,ollama,Bridge
ParthSareen,0.023781212841854932,25,0.026107599851123726,0.006186943589725873,0.021737695775011716,0,ollama,Bridge
dinithaw,0.03804994054696789,33,0.10327064813242018,0.005650301683868203,0.0,3,deepseek,Bridge
justinlietz93,0.0511296076099881,43,0.32753496404507143,0.00477190600284692,0.0,5,deepseek,Bridge
eyurtsev,0.009512485136741973,16,0.007897344431232672,0.004709171777262379,0.06964748805900839,1,langchain,Bridge
olumolu,0.0178359096313912,17,0.02408354541147694,0.004460863673831164,0.0,9,ollama,Bridge
Skizzy-create,0.023781212841854932,24,0.0027003944661495205,0.004024615613376593,0.0,11,ollama,Bridge
FarMounTAI,0.04161712247324613,43,0.0031872487401619384,0.0038750871163696385,0.0,4,deepseek,Bridge
Manamama,0.042806183115338875,38,0.27672656795576017,0.003674756723973584,0.0,4,deepseek,Bridge
Shiven-saini,0.015457788347205705,15,0.005316460916192063,0.003278170973570723,0.0,9,ollama,Bridge
MichalZak17,0.034482758620689655,32,0.031447516184436544,0.003271495132636669,0.0,3,deepseek,Bridge
prusnak,0.011890606420927466,14,0.0024262499292225814,0.0032257329560069917,0.0,0,ollama,Bridge
engalisabry,0.0535077288941736,45,0.05425853575675186,0.0031918798534511226,0.0,5,deepseek,Bridge
UjuiUjuMandan,0.04161712247324613,37,0.05449228997980476,0.0030744940090148293,0.0,4,deepseek,Bridge
XenonPy,0.034482758620689655,33,0.06434094426514181,0.0030095041187339923,0.0,4,deepseek,Bridge
zytoh0,0.04875148632580261,41,0.07234207609890672,0.0029641030922444573,0.0,7,ollama,Bridge
ddpasa,0.02853745541022592,24,0.006838904949072916,0.0029006985095564345,0.0,6,ollama,Bridge
cbornet,0.00356718192627824,10,0.0,0.0028231031432575785,0.10164590193818848,1,langchain,Amplifier
bmizerany,0.022592152199762187,19,0.02625597130238581,0.002779791345470645,0.0,2,ollama,Bridge
fserb,0.020214030915576692,17,0.007860540173263302,0.0026766836162955706,0.0,10,ollama,Bridge
corticalstack,0.019024970273483946,16,0.009403487911216809,0.002663008199723824,0.0,10,ollama,Bridge
ericcurtin,0.027348394768133173,23,0.011845308872657266,0.002640232227155914,0.0,6,ollama,Bridge
philippstoboy,0.009512485136741973,11,0.002442011287273531,0.0026352498839406,0.0,0,ollama,Bridge
AlanGreyjoy,0.019024970273483946,16,0.12927139007995112,0.002611031696320783,0.0,3,deepseek,Bridge
ctx2002,0.016646848989298454,16,1.0380688145254139e-05,0.002416730251705206,0.0,11,ollama,Amplifier
yhfgyyf,0.013079667063020214,11,0.011845308872657261,0.002414012012338721,0.0,8,deepseek,Bridge
Eren-Yeaager,0.026159334126040427,23,0.012786990638506694,0.002383613194984433,0.0,3,deepseek,Bridge
nomagick,0.020214030915576692,20,0.07559632334899881,0.002377782174241412,0.0,4,deepseek,Bridge
ChalsLapWork,0.020214030915576692,19,0.0010132023479229517,0.0023775573745890835,0.0,3,deepseek,Amplifier
mowentian,0.009512485136741973,8,0.016567578279825607,0.0023702599994491957,0.0,18,deepseek,Bridge
catsled,0.013079667063020214,11,0.04215786195572163,0.002328542595823597,0.0,8,deepseek,Bridge
twythebest,0.009512485136741973,10,0.0021459735869427945,0.002199577745870089,0.0,9,ollama,Bridge
devlux76,0.008323424494649227,7,0.013537355367908553,0.002159162110281368,0.0,15,ollama,Bridge
SeekPoint,0.011890606420927466,11,0.00011583904271181321,0.002153430595663668,0.0,0,ollama,Amplifier
S1monlebon,0.029726516052318665,26,0.0005606288564501569,0.0021099714749544707,0.0,4,deepseek,Amplifier
dmatora,0.015457788347205705,13,0.006970160240077008,0.0020792013476814684,0.0,10,ollama,Bridge
davidogundepo,0.009512485136741973,8,0.01185663325972482,0.002049882328245506,0.0,14,mixed,Bridge
seanmavley,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
sabbirsam,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
epicwhale,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
rabadur503,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
Paras1209,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
aidanxyz,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
arjunivor,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
blackhaj,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
efe3535,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
ajayjoshioutdosolutions,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
ERICK-ZABALA,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
AvtarSinghChundawat,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
ChaosCom,0.0178359096313912,15,0.0018769421658252977,0.002044570009708283,0.0,2,ollama,Bridge
prdai,0.009512485136741973,8,0.029861087518637763,0.001993461792486236,0.0,5,deepseek,Bridge
alicercedigital,0.020214030915576692,19,8.021440839514562e-05,0.0019674474828111554,0.0,3,deepseek,Amplifier
younes-io,0.020214030915576692,19,8.021440839514562e-05,0.0019674474828111554,0.0,3,deepseek,Amplifier
MIC-BO,0.040428061831153383,35,0.0032408080817212543,0.0019540611355324373,0.0,7,ollama,Bridge
franz101,0.040428061831153383,35,0.0032408080817212543,0.0019540611355324373,0.0,7,ollama,Bridge
hackthedev,0.027348394768133173,23,0.004956234736895497,0.001954046271066451,0.0,4,deepseek,Bridge
amytimed,0.022592152199762187,19,0.008642601928358869,0.0019195518760464366,0.0,6,ollama,Bridge
