event_type,repo,actor,created_at,text,in_reply_to
IssuesEvent,ollama/ollama,devlux76,2025-01-20T00:33:01Z,"MacApp fails to build when building from source ### What is the issue?

I cloned the repo and was building the macapp and it fails to build. Can't find webpack.main.config
There's a webpack.main.config.ts file but that's not the file referenced.
I'm just bringing this to the attention of whomever is maintaining it.

### OS

macOS

### GPU

Apple

### CPU

Apple

### Ollama version

current head",
IssueCommentEvent,ollama/ollama,devlux76,2025-01-20T00:37:11Z,"You're downloading a multiple gigabyte file and doing so over TCP/IP. 
It's going to chew through bandwidth like my dog does through my kids homework.
What we really need is some form of bittorrent like distribution mechanism for these models.
I wonder if IPFS or some other content addressable network would be a good solution?",
IssueCommentEvent,ollama/ollama,hipudding,2025-01-20T01:25:58Z,"@ericcurtin Very interesting project, Thanks.
",
IssuesEvent,ollama/ollama,jonsen,2025-01-20T01:31:03Z,"ollama + deepseek-v2 SIGSEGV: segmentation violation ### What is the issue?

Here are ollama output log:

llama_model_load: vocab only - skipping tensors
llama.cpp:11968: The current context does not support K-shift
SIGSEGV: segmentation violation
PC=0x7f87e284d1d7 m=0 sigcode=1 addr=0x206403fd8
signal arrived during cgo execution

goroutine 4 gp=0xc0000076c0 m=0 mp=0x55ef197e41c0 [syscall]:
runtime.cgocall(0x55ef191fcfb0, 0xc00014aba0)
        runtime/cgocall.go:167 +0x4b fp=0xc00014ab78 sp=0xc00014ab40 pc=0x55ef18fb14eb
github.com/ollama/ollama/llama._Cfunc_llama_decode(0x7f876cc0c7b0, {0x1, 0x7f876caf4fc0, 0x0, 0x0, 0x7f876caf6fd0, 0x7f876caf8fe0, 0x7f876cd45130, 0x7f876f513e80})
        _cgo_gotypes.go:556 +0x4f fp=0xc00014aba0 sp=0xc00014ab78 pc=0x55ef1905b56f
github.com/ollama/ollama/llama.(*Context).Decode.func1(0x55ef191f86eb?, 0x7f876cc0c7b0?)
        github.com/ollama/ollama/llama/llama.go:207 +0xf5 fp=0xc00014ac90 sp=0xc00014aba0 pc=0x55ef1905dd95
github.com/ollama/ollama/ll",
IssuesEvent,ollama/ollama,devlux76,2025-01-20T01:34:26Z,"Long context for Qwen2.5 is possible but needs something to work The instructions for Qwen2.5 (all of them) state quite clearly that everything from 7B on up have 128k context. However in order to use that context you need to do something...
https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct#processing-long-texts

For supported frameworks, you could add the following to config.json to enable YaRN:
```
{
  ...,
  ""rope_scaling"": {
    ""factor"": 4.0,
    ""original_max_position_embeddings"": 32768,
    ""type"": ""yarn""
  }
}
```
What is the ollama method of achieving this because I'd really like to use these models at their full context length.
Thanks!",
PullRequestEvent,ollama/ollama,jmorganca,2025-01-20T02:45:37Z,Update gpu.md changed Laptop to Linux since it does not only affect laptop user but Linux user in general,
IssueCommentEvent,ollama/ollama,jmorganca,2025-01-20T02:45:39Z,Thanks Endo!,
PullRequestEvent,langchain-ai/langchain,falconlee236,2025-01-20T03:08:40Z,"docs:  fix broken Appearance of langchain_community/document_loaders/recursive_url_loader API Reference # PR mesesage
## Description
Fixed a broken Appearance of RecurisveUrlLoader API Reference.

### Before
<p align=""center"">
<img width=""750"" alt=""image"" src=""https://github.com/user-attachments/assets/f39df65d-b788-411d-88af-8bfa2607c00b"" />
<img width=""750"" alt=""image"" src=""https://github.com/user-attachments/assets/b8a92b70-4548-4b4a-965f-026faeebd0ec"" />
</p>

### After
<p align=""center"">
<img width=""750"" alt=""image"" src=""https://github.com/user-attachments/assets/8ea28146-de45-42e2-b346-3004ec4dfc55"" />
<img width=""750"" alt=""image"" src=""https://github.com/user-attachments/assets/914c6966-4055-45d3-baeb-2d97eab06fe7"" />
</p>

## Issue:
N/A
## Dependencies
None
## Twitter handle
N/A

# Add tests and docs
Not applicable; this change only affects documentation.

# Lint and test
Ran make format, make lint, and make test to ensure no issues.",
IssueCommentEvent,langchain-ai/langchain,vercel[bot],2025-01-20T03:08:44Z,"[vc]: #KXYZgHvYOH9RzBuYoDg9LUCy7z3/11vdGD0KbO+Dqa8=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi9GVXJBeUdNaENnWUdFYVVlTVQ3aG1ibnNvVHVUIiwicHJldmlld1VybCI6ImxhbmdjaGFpbi1naXQtZm9yay1mYWxjb25sZWUyMzYtbWFzdGVyLWxhbmdjaGFpbi52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IlBFTkRJTkciLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1mb3JrLWZhbGNvbmxlZTIzNi1tYXN0ZXItbGFuZ2NoYWluLnZlcmNlbC5hcHAifX1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | 🔄 Building ([Inspect](https://vercel.com/langchain/langchain/FUrAyGMhCgYGEaUeMT7hmbnsoTuT)) | [Visit Preview](https://langchain-git-fork-falconlee236-master-langchain.vercel.app) | 💬 [**Add feedb",
IssueCommentEvent,ollama/ollama,EndoTheDev,2025-01-20T03:15:14Z,sorry for this super small pr. 😅 🙏 ,
